objectid,filename,youtubeid,vimeoid,title,creator,date,date_is_approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
col002_1,col002_ocminutes_1924.pdf,,,Occident Club Meeting Minutes 1924,,1924,,"Club forms June 19, 1924, choosing its name, adopting bylaws and forming committees. Traveling library opened at Songer Pharamacy. Club holds regular club meetings for business and educational programs.",libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, ID",43.6094542,-116.3931117,"Occident Club Minutes Folder 1924, Meridian Library District History Center",,Text,application/pdf,eng,,,pdf,,,
col002_2,col002_ocminutes_1925.pdf,,,Occident Club Meeting Minutes 1925,,1925,,"Club obtains Meridian City Hall room for traveling library. Club joins the District Federation of Women's Clubs, fundraises for the library, and focuses on contemporary issues such as the Anti-Tuberculosis movement.",libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, ID",43.6094542,-116.3931117,"Occident Club Minutes Folder 1924, Meridian Library District History Center",,Text,application/pdf,eng,,,pdf,,,
col002_3,col002_ocphoto_001.jpg,,,Front of Occident Club Building,,1930,,The Occident Club/Library building that was purchased in 1930. The photo is undated.,libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, ID",43.6094542,-116.3931117,"Occident Club Minutes Folder 1924, Meridian Library District History Center",,Image;StillImage,image/jpeg,eng,,,image,,,
col002_4,col002_ocphoto_002.jpg,,,Occident Club Library Drive Ad,,1926-02-19,,"Occident Club Ad for Library Drive (February 19, 1926) featuring fun for the whole family. Includes picture shows, pie, cards, and a dance. Library drives, as the name suggests, helped to raise money for the Meridian library.",libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, ID",43.6094542,-116.3931117,"Occident Club Minutes Folder 1924, Meridian Library District History Center",,Image;StillImage,image/jpeg,eng,,,image,,,
col002_5,coll001-69.jpg,,,Occident Club Tea,,1950,,Occident Club Tea,libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, ID",43.6094542,-116.3931117,"Occident Club Minutes Folder 1924, Meridian Library District History Center",,Image;StillImage,image/jpeg,eng,,,image,,,
col002_6,col002_ocminutes_1925.pdf,,,Occident Club Meeting Minutes 1925,,1925,,"<b>January 3, 1925:</b> Committee reports; Italian culture discussion; piano solos performed<br><b>February 7, 1925:</b> Village Improvement Committee member appointments; Egyptian history program<br><b>March 7, 1925:</b> Meridian City Hall room obtained for traveling library; Irish culture program<br><b>April 4, 1925:</b> Occident Club accepted into the District's Federation of Women's Clubs with club's delegates selected; Occident Club election bylaws reread; Manual Training Boys of the High School to make bookshelves; Australia the topic of day's program<br><b>May 2, 1925:</b> Library Committee to hold a public Silver Tea event to bring in book donations; Committee made to plan club birthday party for first anniversary; ballot and election of new club officers; treasurer report on finances; Club discussion on Iceland<br><b>May 19, 1925:</b> Federation of Women's Clubs District President visits for special meeting to address the club; work of the Anti-Tuberculosis Association discussed; vocal solos performed<br> <b>June 19, 1925:</b> Occident Club anniversary celebrated with picnic at home of Nina Egbert; history of club's first year read and inserted into the minutes; Library given money for juvenile books; club secretary elected; club president appoints newly formed standing committees; attached May 26, 1925 report on the Library Tea and book shower benefit from May 26, 1925<br><b>September 1, 1925:</b> Occident Club members for the forthcoming year, September 1925-1926<br><b>September 1, 1925:</b> Club out of debt; Library receives two new cases of books; about 200 books loaned in each of past three months; children's books greatly needed; fundraiser for public drinking fountain; Mrs. Barton, past president of the Columbian Club of Boise speaks; a solo performed<br><b>October 2, 1925:</b> Public invited to meeting for a violin solo and a talk on political conditions in China with accompanying slides<br> <b>November 7, 1925:</b> Mrs. Smith and Mrs. Adkinson speak on ""Try Idaho First, Buy Idaho First,"" with each speaker showcasing manufactured Idaho products; Refreshments from Owyhee Candy Co.; Discussion of the Girl Reserve work<br> <b>December 5, 1925:</b> Each member to donate book to library for Christmas season; Complete set of Louise Alcott's books donated to library; Girl Reserve work report; Mrs. Culison speaks on her trip around the world; new year's resolution to focus on what Idaho does for ""defective children""<br> ",,,43.6094542,-116.3931117,"Occident Club Minutes Folder 1924, Meridian Library District History Center",,Text,application/pdf,eng,,,image,,,
