objectid,filename,youtubeid,vimeoid,title,creator,date,date_is_approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
col002_1,"
col002_ocminutes_1924.pdf",,,Occident Club Meeting Minutes 1924,,1924,,"Club forms June 19, 1924, choosing its name, adopting bylaws and forming committees. Traveling library opened at Songer Pharamacy. Club holds regular club meetings for business and educational programs.",libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, ID",43.6094542,-116.3931117,"Occident Club Minutes Folder 1924, Meridian Library District History Center",,Text,application/pdf,eng,,,pdf,,,
col002_2,col002_ocminutes_1925.pdf,,,Occident Club Meeting Minutes 1925,,1925,,"Club obtains Meridian City Hall room for traveling library. Club joins the District Federation of Women's Clubs, fundraises for the library, and focuses on contemporary issues such as the Anti-Tuberculosis movement.",libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, ID",43.6094542,-116.3931117,"Occident Club Minutes Folder 1924, Meridian Library District History Center",,Text,application/pdf,eng,,,pdf,,,
col002_3,demo_001.jpg,,,Front of Occident Club Building,,1930,,The Occident Club/Library building that was purchased in 1930. The photo is undated.,libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, ID",43.6094542,-116.3931117,"Occident Club Minutes Folder 1924, Meridian Library District History Center",,Image;StillImage,image/jpeg,eng,,,image,,,
col002_4,demo_004.jpg,,,Occident Club Library Drive Ad,,1926-02-19,,"Occident Club Ad for Library Drive (February 19, 1926) featuring fun for the whole family. Includes picture shows, pie, cards, and a dance. Library drives, as the name suggests, helped to raise money for the Meridian library.",libraries;public libraries;clubs;women-societies and clubs;library clubs;private clubs,"Meridian, ID",43.6094542,-116.3931117,"Occident Club Minutes Folder 1924, Meridian Library District History Center",,Image;StillImage,image/jpeg,eng,,,image,,,
